NAM	PRO	DAY	MON	YEA	HOU	TMZ	LAT	LON	PLA
Ariyoshi George	PO	12	03	1926	05:00	10h30	21N19	157W52	Honolulu, HI
Armstrong Warren	SP	29	08	1946	14:08	6h	39N7	94W38	Kansas City, KS
Arness James	AC	26	05	1923	01:26	6h	44N59	93W16	Minneapolis, MN
Arnold James	SC	05	05	1923	00:40	5h	40N32	74W22	Metuchen, NJ
Ascani Fred	MI	29	05	1917	20:00	6h	42N31	89W2	Beloit, WI
Ash Roy	EX	20	10	1918	09:11	7h	34N4	118W15	Los Angeles, CA
Ashe Arthur	SP	10	07	1943	12:55	4h	37N33	77W27	Richmond, VA
Ashen Michael	AR	15	07	1943	08:49	7h	34N4	118W15	Los Angeles, CA
Ashley Elisabeth	AC	30	08	1939	03:30	5h	29N11	82W8	Ocala, FL
Atherton William	AC	30	07	1947	15:43	4h	41N18	72W55	New Haven, CT
Attlesey Richard	SP	10	05	1929	12:30	8h	33N54	118W13	Compton, CA
Austin Tracy	SP	12	12	1962	06:18	8h	33N50	118W23	RedondoBeach, CA
Babashoff Shirley	SP	31	01	1957	14:05	8h	33N58	118W3	Whittier, CA
Baber Alice	AR	22	08	1928	03:40	6h	39N30	88W10	Charleston, IL
Backe John	EX	05	07	1932	14:15	5h	41N5	81W31	Akron, OH
Backus George	SC	24	05	1930	10:47	5h	41N52	87W39	Chicago, IL
Backus Jim	AC	25	02	1913	07:30	6h	41N30	81W42	Cleveland, OH
Backus Richard	AC	28	03	1945	17:40	4h	43N1	71W36	Goffstown, NH
Baer Buddy	SP	11	06	1915	17:30	7h	39N44	104W59	Danver, CO
Bagley Worth	MI	29	07	1924	15:20	5h	38N59	76W30	Annapolis, MD
Bailar Benjamin	PO	21	04	1934	09:46	6h	40N7	88W15	Champaign, IL
Bailey Mildred	MI	18	04	1919	05:00	4h	35N18	77W20	Fort Barnwell, NC
Baird Joseph	EX	18	03	1934	04:37	5h	39N58	83W0	Columbus, OH
Baker Diane	AC	25	02	1938	15:18	8h	34N6	118W21	Hollywood, CA
Baker Howard	PO	15	11	1925	15:00	6h	35N48	84W16	Huntsville, TN
Baker Thane	SP	04	10	1931	04:15	6h	37N0	101W54	Elkhart, KS
Bakken James	SP	02	11	1940	04:51	6h	43N4	89W24	Madison, WI
Baldessari John	AR	17	06	1931	19:55	8h	32N41	117W6	National City, CA
Ball Catie	SP	30	09	1951	13:58	5h	30N20	81W39	Jacksonville, FL
Ball William	AC	29	04	1931	12:51	5h	41N52	87W39	Chicago, IL
Banks Ernie	SP	30	01	1931	04:00	6h	32N47	96W49	Dallas, TX
Barnes Harry	PO	05	06	1926	06:02	6h	44N57	93W6	St Paul, MN
Barnes Lee	SP	16	07	1906	15:00	7h	40N45	111W53	Salt Lake City, UT
Barry Richard	SP	28	03	1944	14:32	4h	40N40	74W13	Elizabeth, NJ
Barrymore John	AC	04	06	1932	15:42	8h	34N4	118W25	Beverly Hills, CA
Bartlett Dewey	EX	28	03	1919	13:15	5h	39N25	81W27	Marietta, OH
Basehart Richard	AC	31	08	1914	05:30	6h	39N56	82W1	Zanesville, OH
Battles Clifford	SP	01	05	1910	22:31	5h	41N5	81W31	Akron, OH
Baugh William	MI	07	07	1930	06:30	6h	37N27	84W46	Mc Kinney, KY
Baughan Maxie	SP	03	08	1938	07:00	6h	32N39	87W53	Forkland, AL
Bean Alan	MI	15	03	1932	15:10	6h	35N27	100W16	Wheeler, TX
Bean Orson	AC	22	07	1928	08:00	5h	44N29	73W12	Burlington, VT
Beard Ralph	SP	01	12	1927	02:20	6h	37N47	86W28	Hardingsburg, KY
Beasley Bruce	AR	20	05	1939	20:40	8h	34N4	118W15	Los Angeles, CA
Beatty George	MI	26	10	1917	05:50	5h	35N0	78W20	Clinton, NC
Beban Gary	SP	05	08	1946	22:06	8h	37N47	122W25	San Francisco, CA
Bechtle Robert	AR	14	05	1932	06:37	8h	37N47	122W25	San Francisco, CA
Beckington Herbert	MI	03	10	1920	22:35	6h	42N16	89W6	Rockford, IL
Beer Samuel	SC	28	07	1911	22:00	6h	40N48	82W59	Bucyrus, OH
Bell Clarence	MI	25	07	1916	02:30	5h	35N53	79W42	Hamlet, NC
Bellamy Walt	SP	24	07	1939	10:55	5h	35N7	77W3	New Bern, NC
Bendetsen Karl	EX	11	10	1907	05:30	8h	46N59	123W50	Aberdeen, WA
Bennett Emmet	SC	12	07	1918	02:35	5h	44N59	93W16	Minneapolis, MN
Bentsen Lloyd	PO	11	02	1921	02:30	6h	26N13	98W19	Mission, TX
Berardinelli Giuseppe	SP	28	03	1922	00:00	5h	41N30	81W42	Cleveland, OH
Bergen Candice	AC	09	05	1946	21:52	8h	34N4	118W15	Los Angeles, CA
Berger Thomas	WR	20	07	1924	12:45	5h	39N6	84W31	Cincinnati, OH
Bergland Robert	PO	22	07	1928	15:50	6h	48N51	95W46	Roseau, MN
Bergquist Kenneth	MI	21	11	1912	11:00	6h	47N47	96W37	Crookston, MN
Berra Yogi	SP	12	05	1925	02:00	6h	38N37	90W12	St Louis, MO
Berrigan Daniel	WR	09	05	1921	18:30	6h	47N31	92W32	Virginia, MN
Berrigan Philip	WR	05	10	1923	00:45	6h	47N2	91W40	Two Harbors, MN
Berry Raymond	SP	27	02	1933	23:40	6h	27N47	97W24	Corpus Christi, TX
Berry Wendell	WR	05	08	1934	23:33	6h	38N27	85W09	Henry County, KY
Bertelsen James	SP	26	02	1950	00:59	6h	44N57	93W6	St Paul, MN
Betz Pauline	SP	06	08	1919	02:50	5h	39N45	84W12	Dayton, OH
Biffle Jerome	SP	20	03	1928	09:45	7h	39N44	104W59	Denver, CO
Binger James	EX	16	05	1916	20:00	6h	44N59	93W16	Minneapolis, MN
Bisplinghoff Raymond	SC	07	02	1917	03:45	6h	39N24	84W34	Hamilton, OH
Bixby Bill	AC	22	01	1934	23:20	8h	37N47	122W25	San Francisco, CA
Black Karen	AC	01	07	1939	05:00	5h	42N2	87W51	Park Ridge, IL
Blake Robert	AC	18	09	1933	08:30	4h	40N49	74W9	Nutley, NJ
Blakefield William	MI	28	12	1917	06:30	6h	44N50	87W23	Sturgeon Bay, WI
Blanchard Felix	SP	11	12	1924	19:30	5h	34N13	80W15	Bishopville, SC
Blanton Leonard	PO	10	04	1930	21:30	6h	35N11	88W10	Hardin County, TN
Blaser Robin	WR	18	05	1925	06:30	7h	39N44	104W59	Denver, CO
Blegen Judith	AR	27	04	1941	19:00	5h	38N3	84W30	Lexington, KY
Blish James	WR	23	05	1921	04:00	4h	40N46	74W13	East Orange, NJ
Bliss Helena	AC	31	12	1917	23:25	6h	38N37	90W12	St Louis, MO
Blount Hedon	AC	15	01	1929	13:50	6h	32N15	101W28	Big Spring, TX
Blozis Al	SP	05	01	1919	19:00	5h	40N52	74W6	Garfield, NJ
Blume Judy	WR	12	02	1938	21:59	5h	40N40	74W13	Elizabeth, NJ
Bluth Ray	SP	31	12	1927	17:00	6h	38N37	90W12	St Louis, MO
Bly Robert	WR	23	12	1926	07:20	6h	45N1	96W11	Madison, MN
Boer Charles	WR	25	06	1939	09:42	5h	41N30	81W42	Cleveland, OH
Bolt Jones	MI	16	06	1921	06:40	5h	34N24	82W15	Ware Shoals, SC
Bombeck Erma	WR	21	02	1927	04:40	6h	39N45	84W12	Dayton, OH
Bond Christopher	PO	06	03	1939	21:05	6h	38N37	90W12	St Louis, MO
Booher Edward	EX	22	06	1911	23:27	6h	39N45	84W12	Dayton, OH
Boone Richard	AC	18	06	1917	05:30	8h	34N4	118W15	Los Angeles, CA
Booth Jane	SP	31	03	1948	09:38	7h	34N4	118W15	Los Angeles, CA
Borman Frank	MI	14	03	1928	19:30	6h	41N36	87W20	Gary, IN
Bosco Philip	AC	26	09	1930	12:45	4h	40N44	74W4	Jersey City, NJ
Bosley Tom	AC	01	10	1927	00:36	6h	41N52	87W39	Chicago, IL
Bottoms Timothy	AC	30	08	1951	22:28	7h	34N25	119W42	Santa Barbara, CA
Bourjaily Vance	WR	17	09	1922	14:55	5h	41N30	81W42	Cleveland, OH
Bourland Clifford	SP	01	01	1921	18:10	8h	34N4	118W15	Los Angeles, CA
Bouton Jim	AC	08	03	1939	20:50	5h	40N44	74W10	Newark, NJ
Bova Joseph	AC	25	05	1924	18:15	5h	41N30	81W42	Cleveland, OH
Bowden Don	SP	08	08	1936	08:49	8h	37N20	121W53	San Jose, CA
Bowen William	SC	06	10	1933	15:07	5h	39N6	84W31	Cincinnati, OH
Bowman Lee	AC	28	12	1914	15:00	6h	39N6	84W31	Cincinnati, OH
Boyd Bobby	SP	25	10	1933	23:15	6h	41N52	87W39	Chicago, IL
Boyer Paul	SC	31	07	1918	02:45	6h	40N14	111W39	Provo, UT
Boylan George	MI	03	12	1919	16:30	5h	34N14	77W55	Wilmington, NC
Bradbury Norris	SC	30	05	1909	00:30	8h	34N25	119W42	Santa Barbara, CA
Bradbury Ray	WR	22	08	1920	16:50	5h	42N22	87W50	Waukegan, IL
Bradley Bill	PO	28	07	1943	11:20	5h	38N14	90W23	Crystal City, MO
Bradley Thomas	PO	29	12	1917	04:00	6h	30N59	96W40	Calvert, TX
Bragg Don	SP	15	05	1935	15:20	4h	39N44	75W28	Penns Grove, NJ
Brand Vance	MI	09	05	1931	02:20	7h	40N10	105W6	Longmont, CO
Brandi John	WR	05	11	1943	19:58	7h	34N4	118W15	Los Angeles, CA
Brando Marlon	AC	03	04	1924	23:00	6h	41N17	96W1	Omaha, NE
Branscomb Lewis	SC	03	08	1926	06:40	5h	35N36	82W33	?USAAsheville, NC
Brauer Jerald	XX	16	09	1921	23:45	4h	43N47	88W27	Fond Du Lac, WI
Breedlove Craig	EX	23	03	1937	06:58	8h	34N4	118W15	Los Angeles, CA
Breedlove James	MI	08	09	1922	09:00	6h	36N43	86W35	Franklin, KY
Bremser Ray	WR	22	02	1934	00:01	5h	40N44	74W4	Jersey Citiy, NJ
Brenner Elisabeth	WR	16	11	1935	03:10	5h	39N6	84W31	Cincinnati, OH
Breschi Karen	AR	29	10	1941	21:38	8h	37N49	122W16	Oakland, CA
Brett Devol	MI	01	08	1923	10:55	8h	37N47	122W25	San Francisco, CA
Brewer Leo	SC	13	06	1919	21:12	5h	38N37	90W12	St Louis, MO
Bridges Beau	AC	09	12	1941	03:56	8h	34N4	118W15	Los Angeles, CA
Bridges Jeff	AC	04	12	1949	23:58	8h	34N4	118W15	Los Angeles, CA
Brodie John	SP	14	08	1935	03:20	8h	37N47	122W25	San Francisco, CA
Brookes Jacqueline	AC	24	07	1930	18:50	4h	40N49	74W13	Montclair, NJ
Brooks Gwendolyn	WR	17	06	1917	13:00	6h	39N3	95W40	Topeka, KS
Brooks Harvey	SC	05	08	1915	08:00	5h	41N30	81W42	Cleveland, OH
Brower David	XX	01	07	1912	13:55	8h	37N52	122W16	Berkeley, CA
Brown Edmund	PO	07	04	1938	12:34	8h	37N47	122W25	San Francisco, CA
Brown Robert	SP	08	12	1941	04:15	5h	41N30	81W42	Cleveland, OH
Brown Roger	SP	01	05	1937	05:00	5h	37N8	76W50	Surry County, VA
Browning John	AR	23	05	1933	02:05	7h	39N44	104W59	Denver, CO
Brubeck David	AR	06	12	1920	18:35	8h	37N59	122W2	Concord, CA
Brueckner Keith	SC	19	03	1924	22:38	6h	44N59	93W16	Minneapolis, MN
Brundage Howard	EX	09	11	1923	13:00	5h	40N44	74W10	Newark, NJ
Bryant Douglas	XX	20	06	1913	08:15	8h	36N20	119W18	Visalia, CA
Buchen Philip	PO	27	02	1916	21:00	6h	43N46	87W45	Sheboygen, WI
Buchholz Earl	SP	16	09	1940	09:25	6h	38N37	90W12	St Louis, MO
Budd Frank	SP	20	07	1939	06:35	5h	39N38	74W12	Long Beach, NJ
Budge John	SP	13	06	1915	04:00	6h	37N49	122W16	Oakland, CA
Burcham Lester	EX	26	04	1913	04:00	6h	39N43	82W36	Lancaster, OH
Burke Edward	SP	04	03	1940	09:20	8h	39N9	123W13	Ukiah, CA
Burke Yvonne	PO	05	10	1932	23:00	8h	34N4	118W15	Los Angeles, CA
Burrell Joseph	EX	07	09	1919	08:42	5h	41N45	88W19	Aurora, IL
Bush Robert	MI	04	10	1926	03:00	8h	47N14	122W26	Tacoma, WA
Butkus Dick	SP	09	12	1942	21:20	5h	41N52	87W39	Chicago, IL
Button Richard	SP	18	07	1929	15:34	4h	40N54	73W59	Englewood, NJ
Buzzi Ruth	AC	24	07	1936	19:10	4h	41N22	71W50	Westerly, RI
Byrd Robert	PO	20	11	1917	14:00	5h	36N10	81W9	North Wilkesboro, NC
Byrne Brendan	PO	01	04	1924	06:58	5h	40N47	74W14	West Orange, NJ
Byrom Fletcher	EX	13	07	1918	10:00	4h	41N30	81W42	Cleveland, OH
Cage John	AR	05	09	1912	05:00	8h	34N4	118W15	Los Angeles, CA
Cagle Malcolm	MI	26	09	1918	23:00	6h	39N4	108W33	Grand Junction, CO
Caldwell Philip	EX	27	01	1920	08:00	5h	39N16	83W09	Bourneville, OH
Calvert James	MI	08	09	1920	08:30	5h	41N30	81W42	Cleveland, OH
Camm Frank	MI	13	03	1922	23:00	6h	37N54	85W57	Fort Knox, KY
Campbell Allan	SC	27	04	1929	12:00	8h	37N52	122W16	Berkeley, CA
Campbell Milton	SP	12	09	1933	15:22	4h	40N37	74W25	Plainfield, NJ
Cantlay George	MI	02	08	1920	06:50	10h30	21N19	157W52	Honolulu, HI
Cantwell Robert	WR	31	01	1908	18:00	8h	47N55	117W49	Little Falls, WA
Carey Philip	AC	15	07	1925	10:24	4h	40N53	74W3	Hackensack, NJ
Carpenter Kenneth	SP	19	04	1913	10:00	8h	33N54	118W13	Compton, CA
Carpenter Scott	MI	01	05	1925	06:45	7h	40N1	105W17	Boulder, CO
Carr Gerald	MI	22	08	1932	09:30	7h	39N44	104W59	Denver, CO
Carradine David	AC	08	12	1936	12:00	8h	34N6	118W21	Hollywood, CA
Carroll Julian	PO	16	04	1931	08:00	6h	37N5	88W37	Paducah, KY
Carter James	SP	15	12	1923	01:00	5h	33N34	81W43	Aiken, SC
Cary William	PO	27	11	1910	02:00	6h	39N58	83W0	Columbus, OH
Cash Rosalind	AC	31	12	1938	18:27	5h	39N21	74W27	Atlantic City, NJ
Casper William	SP	24	06	1931	10:24	8h	32N43	117W9	San Diego, CA
Cassady Howard	SP	02	03	1934	06:20	5h	39N58	83W0	Columbus, OH
Catton Jack	MI	05	02	1920	05:30	8h	37N52	122W16	Berkeley, CA
Caulfield Joan	AC	01	06	1922	08:02	4h	40N47	74W14	West Orange, NJ
Cauthen Steve	SP	01	05	1960	20:43	6h	39N5	84W31	Covington, KY
Cernan Eugene	MI	14	03	1934	02:33	6h	41N52	87W39	Chicago, IL
Cerrudo Ronald	SP	04	02	1945	09:24	7h	37N27	122W10	Palo Alto, CA
Chadwick Florence	SP	09	11	1918	19:25	8h	32N43	117W9	San Diego, CA
Chamberlain Joseph	SC	24	08	1928	04:45	6h	38N58	92W44	Boonville, MO
Chamberlain Owen	SC	10	07	1920	03:33	8h	37N47	122W25	San Francisco, CA
Chamberlain Richard	AC	31	03	1934	18:20	8h	34N4	118W25	Beverly Hills, CA
Chandler Otis	EX	23	11	1927	12:50	8h	34N4	118W15	Los Angeles, CA
Channing Carol	AC	31	01	1921	21:00	8h	47N36	122W20	Seattle, WA
Chaplin Geraldine	AC	31	07	1944	23:14	7h	34N1	118W29	Santa Monica, CA
Chaplin Sydney	AC	31	03	1926	08:50	8h	34N4	118W15	Los Angeles, CA
Chapman Kenneth	MI	30	07	1923	17:15	6h	40N0	96W21	Summerfield, KS
Charbonnet Pierre	MI	22	12	1919	15:35	8h	37N47	122W25	San Francisco, CA
Charles Ezzard	SP	07	07	1921	21:00	5h	33N57	83W59	Lawrenceville, GA
Charney Jule	SC	01	01	1917	03:38	8h	37N47	122W25	San Francisco, CA
Cheek James	XX	04	12	1932	14:30	5h	36N28	77W40	Roanoke Rapids, NC
Cheney Dorothy	SP	01	09	1916	14:30	8h	34N4	118W15	Los Angeles, CA
Chiles Lawton	PO	03	04	1930	17:25	5h	28N3	81W57	Lakeland, FL
Chorzempa Daniel	AR	07	12	1944	13:45	5h	44N59	93W16	Minneapolis, MN
Christman Thomas	MI	06	03	1922	02:15	8h	47N36	122W20	Seattle, WA
Clanton Ralph	AC	11	09	1914	06:00	8h	36N44	119W47	Fresno, CA
Clark Albert	MI	27	08	1913	19:50	10h30	21N30	158W4	Schof Barracks, HI
Clark Eleanor	WR	06	07	1913	08:20	8h	34N4	118W15	Los Angeles, CA
Clarke John	AR	06	06	1937	21:03	8h	44N4	121W19	Bend, OR
Clausen Alden	EX	17	02	1923	02:00	6h	40N24	91W21	Hamilton, IL
Clay Cassius	SP	17	01	1942	18:35	6h	38N15	85W46	Louisville, KY
Clifford John	AR	12	06	1947	21:51	8h	34N6	118W21	Hollywood, CA
Clooney Rosemary	AC	23	05	1928	02:30	5h	38N39	83W46	Maysville, KY
Close Chuck	AC	05	07	1940	13:30	8h	47N51	121W58	Monroe, WA
Coats Wendell	MI	28	07	1915	06:00	7h	40N37	103W13	Sterling, CO
Coffin Robert	MI	15	06	1917	05:30	8h	48N46	122W29	Bellingham, WA
Cohen Wilbur	PO	10	06	1913	09:40	6h	43N2	87W55	Milwaukee, WI
Colby William	PO	04	01	1920	17:52	6h	44N57	93W6	St Paul, MN
Collett Wayne	SP	20	10	1949	18:08	8h	34N4	118W15	Los Angeles, CA
Collins Harold	MI	10	11	1924	21:30	6h	29N54	93W56	Port Arthur, TX
Collins Judy	AC	01	05	1939	11:55	8h	47N36	122W20	Seattle, WA
Combs Glen	SP	30	10	1946	16:10	6h	37N15	83W12	Hazard, KY
Comer Anjanette	AC	07	08	1939	12:45	6h	31N54	96W43	Dawson, TX
Conigliaro Tony	SP	07	01	1945	20:52	4h	42N25	71W1	Revers, MA
Connally John	PO	27	02	1917	02:00	6h	29N8	98W10	Floresville, TX
Connell Evan	WR	17	08	1924	22:25	6h	39N6	94W35	Kansas City, MO
Connell Jane	AC	27	10	1925	07:35	8h	37N49	122W16	Oakland, CA
Conner Bruce	AR	18	11	1933	04:35	6h	38N22	97W40	Mc Pherson, KS
Connick Robert	SC	29	07	1917	10:30	8h	40N47	124W9	Eureka, CA
Connolly Maureen	SP	17	09	1934	12:07	8h	32N43	117W9	San Diego, CA
Convy Bert	AC	23	07	1934	16:15	6h	38N37	90W12	St Louis, MO
Coogan Jackie	AC	26	10	1914	03:00	8h	34N4	118W15	Los Angeles, CA
Cooley Denton	SC	22	08	1920	04:30	6h	29N46	95W22	Houston, TX
Coolidge Clark	WR	26	02	1939	07:48	5h	41N49	71W24	Providence, RI
Cooper Damon	MI	27	04	1919	23:55	5h	37N42	85W52	Elizabethtown, KY
Cooper Jane	WR	09	10	1924	09:15	5h	39N21	74W27	Atlantic City, NJ
Cooper Kenneth	MI	12	11	1923	05:20	6h	39N22	94W55	Fort Leavenworth, KS
Coppola Francis	AC	07	04	1939	01:38	5h	42N20	83W3	Detroit, MI
Corbin Thomas	MI	14	01	1917	04:30	5h	35N33	77W58	Fremont, NC
Cosell Howard	AC	25	03	1920	14:15	5h	36N6	80W15	WinstonSalem, NC
Coulette Henri	WR	11	11	1927	04:00	8h	34N4	118W15	Los Angeles, CA
Counsilman James	SP	28	12	1920	10:30	6h	33N31	86W48	Birmingham, AL
Courtney Tom	SP	17	08	1933	01:35	4h	40N44	74W10	Newark, NJ
Cowen Ronald	WR	15	09	1944	08:50	5h	39N6	84W31	Cincinnati, OH
Cowens David	SP	25	10	1948	04:28	5h	39N5	84W30	Newport, KY
Cox Allan	SC	17	12	1926	01:50	8h	33N46	117W52	Santa Ana, CA
Crain Jeanne	AC	25	05	1925	17:00	8h	34N54	117W1	Barstow, CA
Cranston Alan	PO	19	06	1914	07:00	8h	37N27	122W10	Palo Alto, CA
Crenna Richard	AC	30	11	1927	16:14	8h	34N4	118W15	Los Angeles, CA
Crippen Robert	MI	11	09	1937	14:45	6h	30N5	94W6	Beaumont, TX
Cristol Stanley	SC	14	06	1916	11:30	6h	41N52	87W39	Chicago, IL
Cronin Joseph	SP	12	10	1906	12:00	8h	37N47	122W25	San Francisco, CA
Cross Richard	MI	04	06	1920	14:00	6h	38N37	90W12	St Louis, MO
Crossfield Albert	SC	02	10	1921	08:45	8h	37N52	122W16	Berkeley, CA
Csonka Lawrence	SP	25	12	1946	05:53	5h	41N10	81W26	Stow, OH
Culp Robert	AC	16	08	1930	23:16	8h	37N49	122W16	Oakland, CA
Cummings Constance	AC	15	05	1910	07:48	8h	47N36	122W20	Seattle, WA
Cunningham Sam	SP	15	08	1950	03:24	8h	34N25	119W42	Santa Barbara, CA
Curtis Ann	SP	06	03	1926	23:59	8h	37N47	122W25	San Francisco, CA
Curtis Issac	SP	20	10	1950	08:19	8h	33N46	117W52	Santa Ana, CA
Curtis Keene	AC	15	02	1923	18:34	7h	40N45	111W53	Salt Lake City, UT
Da Silva Howard	AC	04	05	1909	06:00	6h	41N30	81W42	Cleveland, OH
Dahl Arlene	AC	11	08	1925	04:10	6h	44N59	93W16	Minneapolis, MN
Dale Carroll	SP	24	04	1938	04:40	5h	36N59	82W35	Wise, VA
Dallessandro Joe	AC	31	12	1948	15:00	6h	30N25	87W13	Pensacola, FL
Daly James	AC	23	10	1918	13:30	5h	44N23	89W49	W Rapids, WI
Dandridge Bob	SP	15	11	1947	13:25	5h	37N33	77W27	Richmond, VA
Daniels John	EX	28	10	1921	22:20	6h	44N57	93W6	St Paul, MN
Danton J	XX	05	07	1908	16:15	8h	37N27	122W10	Palo Alto, CA
Dauben William	SC	06	11	1919	23:10	6h	39N58	83W0	Columbus, OH
Davenport Willie	SP	08	06	1943	23:00	5h	31N48	85W58	Troy, AL
Davies Richard	SP	29	10	1930	17:00	8h	34N9	118W9	Pasadena, CA
Davies Thomas	MI	03	11	1914	17:28	5h	41N30	81W42	Cleveland, OH
Davis Glen	SP	26	12	1924	06:40	8h	34N6	117W43	Claremont, CA
Davis Harold	SP	05	01	1921	02:21	8h	36N40	121W39	Salinas, CA
Davis Jack	SP	11	09	1930	06:15	6h	35N13	101W50	Amarillo, TX
Davis Miles	AR	25	05	1926	05:00	6h	38N53	90W10	Alton, IL
Davis Otis	SP	12	07	1932	08:00	6h	33N12	87W34	Tuscaloosa, AL
Davis Ronald	AR	29	06	1937	02:45	8h	34N1	118W29	Santa Monica, CA
Dawson Leonard	SP	20	06	1935	22:30	5h	40N55	81W6	Alliance, OH
Day Doris	AC	03	04	1922	16:30	6h	39N6	84W31	Cincinnati, OH
Day Laraine	AC	13	10	1920	14:50	7h	40N18	109W59	Roosevelt, UT
De Andrea John	AR	24	11	1941	08:21	7h	39N44	104W59	Denver, CO
De Busschere David	SP	16	10	1940	12:58	5h	42N20	83W3	Detroit, MI
De Butts John	EX	10	04	1915	02:45	5h	36N4	79W48	Greensboro, NC
De Gaetani Jan	AR	10	07	1933	21:43	5h	40N48	81W32	Massillon, OH
De Haven Gloria	AC	23	07	1925	19:31	8h	34N4	118W15	Los Angeles, CA
De Lavallade Carmen	AR	06	03	1931	02:40	8h	34N4	118W15	Los Angeles, CA
De Poix Vincent	MI	13	08	1916	15:55	8h	34N4	118W15	Los Angeles, CA
Deane John	MI	08	06	1919	16:23	7h	37N47	122W25	San Francisco, CA
Dee Frances	AC	26	11	1907	03:00	8h	34N4	118W15	Los Angeles, CA
Dee Sandra	AC	23	04	1942	05:35	4h	40N40	74W7	Bayonne, NJ
Delford Brown Robert	AR	25	10	1930	11:15	7h	38N23	105W1	Portland, CO
Dellums Ronald	PO	24	11	1935	19:24	8h	37N49	122W16	Oakland, CA
Delorean John	EX	06	01	1925	12:00	5h	42N20	83W3	Detroit, MI
Demarco Robert	SP	16	09	1938	10:25	4h	40N44	74W4	Jersey City, NJ
Demont Richard	SP	21	04	1956	06:57	8h	37N47	122W25	San Francisco, CA
Dempsey Tom	SP	12	01	1947	01:22	6h	43N2	87W55	Milwaukee, WI
Dempster Kenneth	MI	25	09	1917	12:40	8h	38N56	119W45	Gardnerville, NV
Den Boer James	WR	21	08	1937	15:52	6h	43N46	87W45	Sheboygan, WI
Deutsch David	AR	08	08	1943	15:50	7h	34N4	118W15	Los Angeles, CA
Devitt Edward	XX	05	05	1911	06:00	6h	44N57	93W6	St Paul, MN
Dickey William	WR	15	12	1928	04:30	8h	48N46	122W29	Bellingham, WA
Didion Joan	WR	05	12	1934	17:55	8h	38N35	121W29	Sacramento, CA
Diebold John	EX	08	06	1926	00:50	4h	40N46	74W0	Weehawken, NJ
Dillard Harrison	SP	08	07	1923	07:32	5h	41N30	81W42	Cleveland, OH
Diller Phyllis	AC	17	07	1917	01:00	6h	40N44	84W6	Lima, OH
